"~id,initials:String,title:String,department:String,location:String,~label"
"10210,F.R.,Senior Product Manager - Next Generation Service Commerce,Products,Remote - AZ,Employee"
"10215,S.R.,Eng - Software Development IV,Global Platform,Remote - CO (Denver),Employee"
"10217,J.R.,LDP Sup,Customer Development Team,Tempe,Employee"
"10222,C.Y.,Sup - C3,C3 Support,Gilbert,Employee"
"10223,J.N.,Productivity Advanced Services Representative,Productivity Advanced Services,Gilbert,Employee"
"10226,M.E.,Sr. Mgr - SRE,Cloud Infrastructure and IT,Tempe,Employee"
"10227,A.N.,Eng - Data Center III,Cloud Infrastructure and IT,DC - Phoenix (P3),Employee"
"10228,R.Y.,Dir - Software Development,Products,Hiawatha,Employee"
"1026,A.N.,Spec - Email Mktg Supp,C3 Support,Remote - AZ,Employee"
"10263,C.N.,Program Manager III,Cloud Infrastructure and IT,Tempe,Employee"
"10264,L.N.,Eng - Site Reliability III,Cloud Infrastructure and IT,Remote - CA,Employee"
"10282,C.R.,Spec - Domain Srvcs III,Products,Hiawatha,Employee"
"10286,R.W.,Consultant - SalesSupport,C3 Support,Hiawatha,Employee"
"10292,J.Y.,Eng - Software Development IV,Cloud Infrastructure and IT,Tempe,Employee"
"10299,D.A.,Advisor - GoDaddy Business,CDT Campaign Test,Tempe,Employee"
"1030,C.S.,Eng - Software Development IV,Global Platform,Tempe,Employee"
"10306,M.N.,Learning Professional IV,Professional Development,Gilbert,Employee"
"10313,T.S.,Consultant - SalesSupport,Inbound Services,Remote - AZ,Employee"
"10316,A.S.,Consultant - Hosting Support Sales,Hosting Support Sales,Hiawatha,Employee"
"10321,C.Z.,Prem Svcs II,Premier Services - Gold,Hiawatha,Employee"
"10322,S.E.,Software Development Engineer,Technology Engineering,Gilbert,Employee"
"10326,T.N.,Sr. Mgr - Product,Customer Experience,Scottsdale,Employee"
"10343,N.L.,Senior Product Manager - UX Platform,Customer Experience,Scottsdale,Employee"
"10349,M.R.,Learning Program Manager: People Management Transformation & Corporate,People Operations,Gilbert,Employee"
"10360,T.Y.,Rep - Advanced Technical Support,Advanced Technical Support,Hiawatha,Employee"
"10375,E.E.,Eng - Site Reliability IV,Cloud Infrastructure and IT,Scottsdale,Employee"
"10377,S.Z.,Eng - Software Development III,Products,Remote - TX,Employee"
"10379,K.W.,Analyst - Website Security Support I,Security - Sucuri,Remote - IA,Employee"
"10383,B.S.,Consultant - SalesSupport,C3 Support,Hiawatha,Employee"
"10404,A.E.,Sup - C3,CDT GoDaddy Business Advisors,Gilbert,Employee"
"10412,M.S.,Consultant - Hosting Support I,Hosting Support Phones,Gilbert,Employee"
"10433,C.E.,Solutions Engineer III,Hosting Support Managed Services,Gilbert,Employee"
"10438,K.Y.,Consultant - OCEO II,Office of the CEO,Remote - AZ,Employee"
"10443,J.E.,Eng - Software Development IV,Products,Remote - CO,Employee"
"10450,P.N.,Mgr - Aftermarket Sales,Aftermarket,Cambridge,Employee"
"10468,C.E.,Consultant - Hosting Support I,Technical Hosting Services,Gilbert,Employee"
"10491,O.N.,Tech - DC Ops III,Cloud Infrastructure and IT,DC - Amsterdam Offsite 4,Employee"
"10492,K.N.,Eng - Software Development II,Products,Hiawatha,Employee"
"10493,J.N.,Eng - Software Development in Test IV,Products,Remote - CO,Employee"
"10496,M.Y.,Spec - Sales & Retention,Professional Services,Tempe,Employee"
"10498,C.D.,Consultant - Hosting Support I,Reseller Support,Gilbert,Employee"
"10499,J.O.,Consultant - Productivity I,Productivity,Gilbert,Employee"
"10508,D.N.,Consultant - SalesSupport,C3 Support,Hiawatha,Employee"
"10515,M.D.,Supervisor - Advanced Technical Support,Advanced Technical Support,Hiawatha,Employee"
"10517,R.L.,Consultant - SalesSupport,Billing,Hiawatha,Employee"
"10528,J.A.,Vice President Global Integrations,Global Market Operations,Hiawatha,Employee"
"10559,E.S.,Rep - Advanced Technical Support,Advanced Technical Support,Gilbert,Employee"
"10586,J.A.,Consultant - OCEO III,Office of the CEO,Remote - IA,Employee"
"10589,J.N.,Sup - C3,Billing,Hiawatha,Employee"
"10598,C.L.,LDP Sup,C3 Support,Scottsdale,Employee"
"106,J.K.,Dir - Product Mgr,Products,Hiawatha,Employee"
"10605,A.I.,Sup - C3,Hosting Support Sales,Gilbert,Employee"
"10606,C.O.,Consultant - C3 I,Productivity,Gilbert,Employee"
"10610,K.K.,Solutions Engineer III,Hosting Support Managed Services,Gilbert,Employee"
"10617,C.H.,Consultant - SalesSupport,C3 Support,Hiawatha,Employee"
"10634,J.H.,Sup - C3,Productivity Premier,Hiawatha,Employee"
"10638,G.Y.,Consultant - CDT Sales Support,CDT Attach and Upgrade Test Team,Gilbert,Employee"
"10643,F.G.,Productivity Advanced Services Representative,Productivity Advanced Services,Gilbert,Employee"
"10659,J.I.,Sr. Mgr - Software Development,Products,Tempe,Employee"
"10660,D.R.,Eng - Software Development IV,Products,Remote - AZ,Employee"
"10661,M.Y.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Hiawatha,Employee"
"10664,V.N.,Marketing Ops Technologist IV,Global Market Operations,Gilbert,Employee"
"10666,M.Z.,Mgr - Marketing (Mgr),Marketing and Brand,Hiawatha,Employee"
"10667,R.Y.,Rep - Advanced Technical Support,Advanced Technical Support,Gilbert,Employee"
"10670,S.S.,Assoc - Secure Certificate Services I,Secure Certificate Services,Gilbert,Employee"
"10687,C.R.,Eng - Software Development III,Products,Hiawatha,Employee"
"10694,J.Z.,Eng - Software Development IV,Products,Tempe,Employee"
"10710,H.E.,Eng - System I,Cloud Infrastructure and IT,Scottsdale,Employee"
"10713,R.T.,Sup - C3,C3 Support,Hiawatha,Employee"
"10716,K.N.,Sup - C3,Hosting Support Sales,Hiawatha,Employee"
"10718,S.N.,Analyst - Website Security Support I,Security - Sucuri,Remote - IA,Employee"
"10725,D.R.,Rep - Advanced Technical Support,Advanced Technical Support,Gilbert,Employee"
"10726,N.A.,Writer III,Customer Experience,Hiawatha,Employee"
"10727,J.P.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Hiawatha,Employee"
"10730,B.T.,Sr. Mgr - Software Development,Global Platform,Scottsdale,Employee"
"10738,B.T.,Consultant - C3 I,Productivity Premier,Hiawatha,Employee"
"10748,D.M.,Analyst - Website Security Support I,Products,Remote - AZ,Employee"
"10752,A.D.,Systems Analyst II,Products,Scottsdale,Employee"
"10755,P.L.,Eng - Security II,Cloud Infrastructure and IT,Remote - WI,Employee"
"10765,S.Y.,Consultant - Hosting Support I,C3 Support,Hiawatha,Employee"
"10775,J.H.,Eng - System IV,Cloud Infrastructure and IT,Remote - AZ,Employee"
"10778,T.N.,Spec - Email Mktg Supp,C3 Support,Remote - AZ,Employee"
"10793,E.S.,Eng - Site Reliability III,Cloud Infrastructure and IT,Remote - CO,Employee"
"10798,J.Z.,Sup - C3,CDT GoDaddy Business Advisors,Gilbert,Employee"
"10803,B.H.,Consultant - SalesSupport,Hosting Support Sales,Hiawatha,Employee"
"10805,J.S.,Consultant - SalesSupport,C3 Support,Hiawatha,Employee"
"10806,S.O.,Eng - Software Development V,Products,Carlsbad,Employee"
"10807,J.S.,Rep - Advanced Technical Support,Advanced Technical Support,Gilbert,Employee"
"10823,H.I.,Sup - C3,Hosting Support Phones,Gilbert,Employee"
"10825,M.R.,Sr. Dir - Software Dev,Products,Tempe,Employee"
"10826,T.Y.,Designer - Graphic III,Marketing and Brand,Scottsdale,Employee"
"10827,S.R.,Consultant - SalesSupport,C3 Support,Tempe,Employee"
"10832,J.R.,Consultant - SalesSupport,C3 Support,Tempe,Employee"
"10837,J.S.,Marketing Project Specialist,Global Market Operations,Gilbert,Employee"
"10842,K.A.,Consultant - SalesSupport,C3 Support,Remote - AZ,Employee"
"10845,S.R.,Sr. Mgr - Product,Global Platform,Scottsdale,Employee"
"10849,J.L.,Solutions Engineer I,Hosting Support Managed,Tempe,Employee"
"10855,J.S.,Consultant - SalesSupport,Billing,Hiawatha,Employee"
"10862,M.N.,Consultant - SalesSupport,CDT Attach and Upgrade Test Team,Gilbert,Employee"
"10879,N.N.,Consultant - C3 Internet Sales and Serv,C3 Support,Hiawatha,Employee"
"10885,E.Z.,Analyst - Website Security Support I,Products,Remote - AZ,Employee"
"10896,D.A.,Sup - C3,C3 Support,Gilbert,Employee"
"10900,C.R.,Sr. Mgr - Technical Accounting,Corporate,Scottsdale,Employee"
"10901,J.E.,Eng - System II,Cloud Infrastructure and IT,Scottsdale,Employee"
"1091,R.R.,Director - Program Management,C3 Management,Tempe,Employee"
"10912,J.N.,Consultant - CDT Sales Support,CDT GoDaddy Business Advisors,Gilbert,Employee"
"10913,N.N.,Rep - Incident Management,Advanced Technical Support - Non Chat,Tempe,Employee"
"10917,S.R.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Hiawatha,Employee"
"10926,A.D.,Eng - Software Development IV,Products,Tempe,Employee"
"10934,S.Y.,Consultant - Hosting Support I,Technical Hosting Services,Gilbert,Employee"
"10954,D.A.,Consultant - Prem Hosting,Hosting Support Premier,Gilbert,Employee"
"10961,E.L.,Eng - Software Development III,Products,Tempe,Employee"
"10964,M.U.,Consultant - OCEO III,Office of the CEO,Tempe,Employee"
"10967,J.K.,Customer Experience Advocate,Customer Experience,Tempe,Employee"
"10975,E.R.,Mgr - UX,Global Market Operations,Scottsdale,Employee"
"10980,D.R.,Solutions Engineer III,Hosting Support Managed Services,Hiawatha,Employee"
"10987,A.K.,Sup - C3,Hosting Support Phones,Gilbert,Employee"
"10997,E.N.,LDP,C3 Support,Hiawatha,Employee"
"11009,J.Y.,Consultant - Hosting Support Web Pro,Partner Services,Gilbert,Employee"
"11012,D.S.,Analyst - Website Security Support I,Security - Sucuri,Remote - IA,Employee"
"11020,C.N.,Sup - C3,C3 Support,Hiawatha,Employee"
"11022,K.S.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Hiawatha,Employee"
"1103,M.Y.,Consultant - CDT Sales Support,CDT Web Presence,Tempe,Employee"
"11032,E.E.,Consultant - Hosting Support I,Hosting Support Phones,Hiawatha,Employee"
"11033,E.R.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Gilbert,Employee"
"11041,N.E.,Solutions Engineer I,Hosting Support Managed,Tempe,Employee"
"11044,A.R.,Consultant - Prdctvty III,Mid-Market,Gilbert,Employee"
"11073,M.R.,Eng - Software Development I,Hosting Support Managed Services,Gilbert,Employee"
"11082,N.R.,General Counsel Int Legal Affairs,Legal,Alexandria,Employee"
"11088,D.N.,Consultant - OCEO I (H),Office of the CEO,Remote - AZ,Employee"
"11098,Z.S.,Sup - C3,Reseller Support,Gilbert,Employee"
"11118,A.E.,Chief Operating Officer,Corporate,Sunnyvale,Employee"
"11124,K.S.,Mgr - Sr. Program,C3 Management,Tempe,Employee"
"11193,C.H.,Mgr - SRE,Cloud Infrastructure and IT,Scottsdale,Employee"
"11195,V.N.,Sr. Recruiting Coordinator,People Operations,Scottsdale,Employee"
"11196,B.Y.,Eng - Software Development IV,Global Platform,Scottsdale,Employee"
"11201,M.S.,Consultant - SalesSupport,C3 Support,Scottsdale,Employee"
"11235,M.N.,AM Sales I,Aftermarket,Tempe,Employee"
"11248,L.I.,Dir - Marketing (Mgr),Customer Experience,Sunnyvale,Employee"
"11251,T.T.,Sr. Mgr - Software Development,Products,Sunnyvale,Employee"
"11252,A.M.,Mgr - Business Analytics,Global Platform,Remote - NY,Employee"
"11253,J.S.,Director Software Development,Technology Engineering,Sunnyvale,Employee"
"11254,J.H.,Mgr - Marketing,Global Market Operations,Sunnyvale,Employee"
"11261,S.C.,Sr. Mgr - Software Development,Products,Sunnyvale,Employee"
"11265,L.T.,VP - Customer Experience,Customer Experience,Sunnyvale,Employee"
"11267,J.N.,Analyst - Pricing III,Global Market Operations,Scottsdale,Employee"
"11271,S.O.,Eng - Software Development I,Hosting Support Managed Services,Gilbert,Employee"
"11274,S.N.,Admin - Legal II,Legal,Gilbert,Employee"
"1128,W.R.,Consultant - SalesSupport,C3 Support,Gilbert,Employee"
"11289,J.K.,Eng - System IV,Cloud Infrastructure and IT,Tempe,Employee"
"11290,A.O.,Eng - Software Development III,Customer Experience,Scottsdale,Employee"
"11293,S.S.,Consultant - SalesSupport,C3 Support,Remote - AZ,Employee"
"11295,G.R.,Solutions Engineer I,Hosting Support Managed,Tempe,Employee"
"11298,S.N.,Rep - Advanced Technical Support,Advanced Technical Support,Gilbert,Employee"
"11299,J.N.,Hosting Support Supervisor,Reseller Support,Gilbert,Employee"
"113,L.E.,Spec - Domain Srvcs IV,Domain Services,Hiawatha,Employee"
"11301,C.S.,Project/Program Manager,C3 Management,Tempe,Employee"
"11304,S.E.,Dir - Communications (Mgr),Corporate Communications,Scottsdale,Employee"
"11306,L.N.,Eng - System IV,Cloud Infrastructure and IT,Tempe,Employee"
"11318,J.W.,Rep - Advanced Technical Support,Advanced Technical Support,Hiawatha,Employee"
"11329,M.S.,Sr. Mgr - C3 Site,Productivity,Gilbert,Employee"
"11335,J.S.,Consultant - Hosting Support I,Hosting Support Phones,Gilbert,Employee"
"11344,H.G.,Sr. Mgr - Financial Planning & Analysis,Accounting and Finance,Scottsdale,Employee"
"11351,J.S.,Associate Customer Development Consultant,CDT GoDaddy Business Advisors,Gilbert,Employee"
"11356,C.O.,Sr. Mgr - Product,Global Platform,Scottsdale,Employee"
"11360,T.S.,Spec - Sales & Retention,Professional Services,Tempe,Employee"
"11361,S.R.,Designer - UX III,Products,Scottsdale,Employee"
"11362,R.N.,Spec - Sales & Retention,Professional Services,Tempe,Employee"
"11384,K.R.,Eng - Software Development IV,Products,Gilbert,Employee"
"11391,M.S.,Solutions Engineer III,Hosting Support Managed Services,Gilbert,Employee"
"11393,E.A.,Aftermarket Partner Sales II,Aftermarket,Tempe,Employee"
"11414,T.I.,Lead - Email Mktg Support,Billing,Remote - AZ,Employee"
"11415,D.A.,Spec - Email Mktg Supp,C3 Support,Remote - AZ,Employee"
"11418,D.L.,Consultant - CDT Sales Support,CDT Attach and Upgrade Test Team,Gilbert,Employee"
"11433,Y.A.,Mgr - Program,Global Market Operations,India (WeWork),Employee"
"11443,J.Y.,Sr. Spec - Marketing,Products,Gilbert,Employee"
"11446,R.N.,Sup - C3,C3 Support,Scottsdale,Employee"
"11448,K.N.,Manager - Care Inbound,C3 Support,Tempe,Employee"
"11455,J.E.,Consultant - Hosting Support I,Hosting Support Phones,Hiawatha,Employee"
"1147,R.N.,Eng - Software Development V,Global Platform,Tempe,Employee"
"11484,D.Z.,Eng - System III,Cloud Infrastructure and IT,Remote - AZ,Employee"
"11488,C.A.,Productivity Advanced Services Representative,Productivity Advanced Services,Gilbert,Employee"
"11491,B.N.,Consultant - CDT Sales Support,CDT GoDaddy Business Advisors,Gilbert,Employee"
"11507,A.R.,VP - Corporate Development,Corporate Development,Remote - CA,Employee"
"11510,J.N.,Sup - C3,Professional Services,Tempe,Employee"
"11516,S.N.,Eng - Software Development I,C3 Management,Tempe,Employee"
"11521,C.E.,AM Escrow I,Aftermarket,Tempe,Employee"
"1153,J.P.,Marketing Manager III,Products,Gilbert,Employee"
"11537,M.S.,Consultant - SalesSupport,Inbound Services,Remote - AZ,Employee"
"11543,M.D.,Dir - Payment Operations,Fraud,Tempe,Employee"
"11548,C.Z.,Learning Professional I,C3 New Hire Trainers,Gilbert,Employee"
"11560,R.N.,Eng - Software Development III,Global Platform,Hiawatha,Employee"
"11561,T.Z.,Website Builder I,Website Creation,Scottsdale,Employee"
"11562,J.O.,Consultant - Hosting Support II,Hosting Support Sales,Gilbert,Employee"
"11577,J.L.,Consultant - Hosting Support I,Partner Services,Gilbert,Employee"
"11581,M.E.,Website Specialist I,Website Creation,Scottsdale,Employee"
"11598,T.O.,Consultant - SalesSupport,Inbound Services,Remote - AZ,Employee"
"1160,R.S.,Sr. Mgr - Product Mktg,Products,Gilbert,Employee"
"11601,M.R.,Supervisor - Customer Care,C3 Support,Scottsdale,Employee"
"11602,E.Z.,Admin - Chargeback I,Fraud,Tempe,Employee"
"11607,T.N.,Consultant - Productivity I,Productivity,Gilbert,Employee"
"11608,M.E.,Consultant - Hosting Support I,Technical Hosting Services,Gilbert,Employee"
"11610,R.N.,Spec - Sales & Retention,Professional Services,Tempe,Employee"
"11614,C.R.,Spec - SEO IV,Global Market Operations,Scottsdale,Employee"
"11617,D.Z.,SVP - Corp Development,Corporate,Sunnyvale,Employee"
"11622,L.Z.,Solutions Engineer I,Hosting Support Managed,Tempe,Employee"
"11624,A.L.,Eng - System II,Cloud Infrastructure and IT,Tempe,Employee"
"11629,C.N.,Spec - Advanced Product (H),Advanced Technical Support - Non Chat,Gilbert,Employee"
"11634,R.S.,Mgr - DC Ops Program I,Cloud Infrastructure and IT,DC - Phoenix (P3),Employee"
"11636,M.K.,Consultant - Hosting Support I,Technical Hosting Services,Tempe,Employee"
"11646,D.N.,Consultant - Hosting Support I,Hosting Support Phones,Gilbert,Employee"
"11649,B.S.,Eng - Software Development I,Global Platform,Hiawatha,Employee"
"11671,B.N.,Advisor - GoDaddy Business,CDT GoDaddy Business Advisors,Gilbert,Employee"
"11679,D.U.,Eng - Software Development IV,Global Platform,Remote - CO (Aurora),Employee"
"1168,A.O.,Eng - Software Development V,Products,Tempe,Employee"
"11680,M.D.,Sr. Mgr - C3 Ops Support,C3 Management,Tempe,Employee"
"11683,H.A.,Sr. Channel Marketing Manager,Products,Gilbert,Employee"
"11693,M.Y.,Consultant - SalesSupport,Billing,Gilbert,Employee"
"11694,N.T.,Consultant - SalesSupport,C3 Support,Hiawatha,Employee"
"11697,I.K.,Sup - C3,Hosting Support Phones,Gilbert,Employee"
"11702,M.D.,Sup - C3,C3 Support,Scottsdale,Employee"
"11703,R.Z.,Consultant - Hosting Support I,Hosting Support Phones,Gilbert,Employee"
"11725,K.N.,Website Specialist I,Website Creation,Scottsdale,Employee"
"11728,J.Y.,Eng - Site Reliability II,Cloud Infrastructure and IT,Remote - ID,Employee"
"1173,J.T.,Eng - System II,Cloud Infrastructure and IT,Tempe,Employee"
"11735,T.G.,Eng - Software Development IV,Products,Tempe,Employee"
"11743,B.N.,Eng - Software Development IV,Products,Tempe,Employee"
"11747,T.T.,Eng - Software Development V,Products,Tempe,Employee"
"11753,C.Z.,Sup - C3,C3 Support,Tempe,Employee"
"11765,B.N.,Business Analytics Analyst II,Global Market Operations,Tempe,Employee"
"11768,S.R.,Manager - Business Analytics,Global Market Operations,Hiawatha,Employee"
"11770,A.R.,CDT Business Solutions (Representative),CDT GoDaddy Business Advisors,Gilbert,Employee"
"11775,K.N.,Consultant - OCEO II,Office of the CEO,Remote - AZ,Employee"
"11780,S.S.,Sup - Website Security Support,Security - Sucuri,Remote - IA,Employee"
"11790,M.M.,Consultant IV - Hosting Support,Hosting Support Sales,Gilbert,Employee"
"11798,J.R.,Consultant - Hosting Support I,Technical Hosting Services,Gilbert,Employee"
"11804,M.N.,LDP,Hosting Support Phones,Hiawatha,Employee"
"11817,K.N.,Consultant - Hosting Support I,Hosting Support Phones,Gilbert,Employee"
"11821,D.R.,Sup - C3,Hosting Support Sales,Hiawatha,Employee"
"11830,M.S.,Prem Svcs II,Premier Services - Gold,Tempe,Employee"
"11834,E.R.,VP - Marketing,Global Market Operations,Sunnyvale,Employee"
"11835,T.S.,Eng - Software Development IV,Global Platform,Scottsdale,Employee"
"11839,T.S.,Mgr - Marketing (Mgr),Global Market Operations,Hiawatha,Employee"
"11854,B.D.,Consultant - SalesSupport,C3 Support,Tempe,Employee"
"11858,D.Y.,Consultant - Hosting Support I,Hosting Support Phones,Gilbert,Employee"
"11859,H.I.,Advisor - GoDaddy Business,CDT Campaign Test,Tempe,Employee"
"11867,J.K.,DC Tech Lead,Cloud Infrastructure and IT,DC - Phoenix (P3),Employee"
"1187,L.N.,Eng - Security II,Cloud Infrastructure and IT,Scottsdale,Employee"
"11878,K.E.,Sup - C3,Technical Hosting Services,Tempe,Employee"
"11886,J.Z.,Consultant - Productivity I,Productivity,Gilbert,Employee"
"11891,J.N.,Senior Director - Services,C3 Management,Scottsdale,Employee"
"11893,J.S.,Consultant - SalesSupport,C3 Support,Scottsdale,Employee"
"11902,D.F.,Supervisor - Managed Services Support Team,Hosting Support Managed,Tempe,Employee"
"11907,J.E.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Gilbert,Employee"
"11911,J.L.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Hiawatha,Employee"
"11925,C.T.,SVP - Chief Brand Officer,Global Market Operations,Kirkland,Employee"
"11927,M.N.,Chief Customer Officer,Corporate,Sunnyvale,Employee"
"11929,J.S.,Consultant - Hosting Support I,Hosting Support Phones,Gilbert,Employee"
"11939,E.E.,Sup - C3,Hosting Support Phones,Gilbert,Employee"
"11940,J.E.,Consultant - Hosting Support I,Hosting Support Phones,Gilbert,Employee"
"11946,D.S.,Sr. Mgr - Software Development,Global Platform,Scottsdale,Employee"
"11969,T.R.,Sup - C3,Mid-Market,Gilbert,Employee"
"11978,A.D.,Supervisor Productivity- Iowa,Productivity,Hiawatha,Employee"
"11982,M.R.,Supervisor - Advanced Technical Support,Advanced Technical Support,Gilbert,Employee"
"11986,J.O.,Consultant - SalesSupport,C3 Support,Gilbert,Employee"
"12008,A.A.,Software Development Engineer IV,Global Platform,Kirkland,Employee"
"12010,S.L.,Eng - Software Development IV,Technology Engineering,Scottsdale,Employee"
"12015,C.T.,Production Team Lead - Website Services,Website Creation,Scottsdale,Employee"
"12028,S.N.,Rep - Advanced Technical Support,Advanced Technical Support,Gilbert,Employee"
"12031,A.Z.,Aftermarket Sales,Aftermarket,Tempe,Employee"
"12032,M.Y.,Solutions Engineer III,Hosting Support Managed Services,Gilbert,Employee"
"12033,B.H.,Advisor - GoDaddy Business,CDT Web Presence,Tempe,Employee"
"12038,M.S.,Consultant - CDT Sales Support,CDT GoDaddy Business Advisors,Gilbert,Employee"
"12049,M.R.,Sup - C3,C3 Support,Tempe,Employee"
"12052,D.N.,Sup - C3,Billing,Gilbert,Employee"
"12053,R.G.,Sup - SCS,Secure Certificate Services,Gilbert,Employee"
"12068,G.L.,Sr. Manager Pro,Global Market Operations,India (WeWork),Employee"
"12069,J.Y.,Marketing Ops Technologist III,Global Platform,Hiawatha,Employee"
"12071,R.S.,Sr. Dir - Program Management (Mgr),Global Platform,Tempe,Employee"
"12075,R.S.,Eng - Software Development I,Hosting Support Managed Services,Gilbert,Employee"
"12082,J.R.,Rep - Advanced Technical Support,Advanced Technical Support,Gilbert,Employee"
"12084,M.N.,Consultant - Hosting Support Sales,Hosting Support Phones,Hiawatha,Employee"
"12087,M.R.,Consultant - Hosting Support Sales,Hosting Support Sales,Hiawatha,Employee"
"12104,K.Y.,Consultant - Hosting Support I,Technical Hosting Services,Gilbert,Employee"
"12109,M.R.,Consultant - Hosting Support Sales,Hosting Support Phones,Hiawatha,Employee"
"12110,A.E.,Sr.Manager,Global Market Operations,Remote - India,Employee"
"12111,R.T.,S-IC-02007 - Business Dev II,Global Market Operations,Remote - India,Employee"
"12117,S.Y.,Sr. Mgr - Product Marketing (Mgr),Global Market Operations,India (WeWork),Employee"
"12119,L.L.,Analyst - Website Security Support I,Security - Sucuri,Remote - AZ,Employee"
"12141,C.Z.,Sup - C3,Hosting Support Phones,Gilbert,Employee"
"12148,J.Y.,Consultant - CDT Sales Support,CDT GoDaddy Business Advisors,Gilbert,Employee"
"12154,P.T.,Learning Professional I,C3 New Hire Trainers,Gilbert,Employee"
"12159,A.O.,Spec - Production III,Marketing and Brand,Scottsdale,Employee"
"12160,A.N.,Chief Architect,Technology Engineering,Kirkland,Employee"
"12166,T.N.,Prem Svcs II,Premier Services - Gold,Hiawatha,Employee"
"12173,L.O.,Analyst - Website Security Support I,Security - Sucuri,Remote - AZ,Employee"
"12184,N.N.,Consultant - SalesSupport,Billing,Hiawatha,Employee"
"12194,J.I.,VP - Product Management,Products,Sunnyvale,Employee"
"12197,I.I.,SVP - GoDaddy EMEA,Products,Sunnyvale,Employee"
"12201,N.U.,Eng - Software Development IV,Products,Remote - CO,Employee"
"12202,M.R.,VP  Global Marketing Operations,Products,Sunnyvale,Employee"
"12213,K.S.,Consultant - Prem Hosting,Hosting Support Premier,Gilbert,Employee"
"12218,J.E.,Sr Business Analytics Analyst I,Care Analytics,Tempe,Employee"
"12220,G.S.,Tech - DC Ops II,Cloud Infrastructure and IT,DC - Amsterdam Offsite 4,Employee"
"12233,C.E.,Consultant - Hosting Support I,Reseller Support,Gilbert,Employee"
"12234,J.R.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Gilbert,Employee"
"12235,J.K.,Consultant - Hosting Support I,Partner Services,Gilbert,Employee"
"12256,K.E.,Chief Procurement Officer,Accounting and Finance,Scottsdale,Employee"
"12257,J.L.,Chief Platform and Globalization Officer,Corporate,Kirkland,Employee"
"12260,A.O.,Eng - System III,Cloud Infrastructure and IT,Gilbert,Employee"
"12263,S.N.,Eng - Software Development IV,Products,Sunnyvale,Employee"
"12266,A.A.,Consultant - CDT Sales Support,CDT GoDaddy Business Advisors,Gilbert,Employee"
